Batch,Mean Time/Epoch (s),Std Time (s),Mean Throughput,Std Throughput
64,12.8535,0.1489,3890.53,45.21
128,7.0083,0.0491,7134.75,50.09
256,4.8242,0.0065,10364.35,13.87
512,4.0557,0.0177,12328.68,53.64
1024,3.6885,0.0466,13557.75,169.9
2048,3.5804,0.0093,13964.87,36.33
