Batch,Mean Time/Epoch (s),Std Time (s),Mean Throughput,Std Throughput
16,1.9589,0.0106,1276.25,6.9
32,1.1175,0.0019,2237.23,3.73
64,0.6997,0.0024,3572.93,12.26
128,0.5039,0.0019,4961.46,19.21
256,0.4002,0.0008,6247.15,12.71
512,0.3331,0.0002,7505.1,5.06
