Batch,Mean Time/Epoch (s),Std Time (s),Mean Throughput,Std Throughput
64,13.0437,0.0373,3833.3,10.98
128,6.9493,0.0336,7195.11,34.8
256,4.7261,0.0056,10579.6,12.56
512,4.0115,0.0322,12464.84,99.42
1024,3.7435,0.0246,13356.97,87.52
2048,3.7039,0.0231,13499.9,84.08
4096,3.6793,0.0082,13589.52,30.28
8192,3.8306,0.0208,13053.07,71.28
16384,5.4272,0.0606,9214.0,102.31
